ID_time,year,month,day,day_of_week,season
773,2021,11,19,Friday,4
774,2023,2,10,Friday,1
775,2018,1,24,Wednesday,1
776,2018,5,18,Friday,2
777,2018,3,23,Friday,2
778,2019,2,26,Tuesday,1
779,2023,6,16,Friday,3
780,2014,3,18,Tuesday,2
781,2015,9,10,Thursday,4
782,2012,9,28,Friday,4
783,2018,3,5,Monday,2
784,2017,8,6,Sunday,3
785,2015,12,24,Thursday,1
786,2012,8,28,Tuesday,3
787,2010,11,18,Thursday,4
788,2007,10,12,Friday,4
789,2011,2,10,Thursday,1
790,2016,2,27,Saturday,1
791,2011,11,24,Thursday,4
792,2024,7,10,Wednesday,3
793,2023,1,20,Friday,1
794,2021,7,2,Friday,3
795,2023,10,6,Friday,4
796,2023,1,11,Wednesday,1
797,2018,9,4,Tuesday,4
798,2016,10,11,Tuesday,4
799,2020,5,1,Friday,2
800,2024,8,29,Thursday,3
801,2016,7,19,Tuesday,3
802,2018,11,27,Tuesday,4
803,2017,7,28,Friday,3
804,2023,2,20,Monday,1
805,2020,4,25,Saturday,2
806,2019,7,26,Friday,3
807,2019,11,27,Wednesday,4
808,2020,12,8,Tuesday,1
809,2025,2,14,Friday,1
810,2024,9,11,Wednesday,4
811,2020,10,16,Friday,4
812,2020,5,20,Wednesday,2
813,2021,4,23,Friday,2
814,2021,9,16,Thursday,4
815,2022,1,21,Friday,1
816,2021,10,29,Friday,4
817,2020,4,29,Wednesday,2
818,2024,8,30,Friday,3
819,2024,12,5,Thursday,1
820,2021,6,25,Friday,3
821,2024,1,29,Monday,1
822,2023,6,7,Wednesday,3
823,2023,5,17,Wednesday,2
824,2024,3,28,Thursday,2
825,2024,1,19,Friday,1
826,2023,2,2,Thursday,1
827,2025,1,7,Tuesday,1
828,2024,2,8,Thursday,1
829,2023,6,30,Friday,3
830,2024,3,22,Friday,2
831,2025,6,5,Thursday,3
832,2021,6,8,Tuesday,3
833,2024,6,15,Saturday,3
834,2024,4,2,Tuesday,2
835,2023,3,24,Friday,2
836,2024,6,18,Tuesday,3
837,2021,2,10,Wednesday,1
838,2025,6,11,Wednesday,3
839,2022,4,23,Saturday,2
840,2021,5,24,Monday,2
841,2022,2,25,Friday,1
842,2009,3,23,Monday,2
843,2018,1,19,Friday,1
844,2016,9,9,Friday,4
845,2020,11,20,Friday,4
846,2016,9,1,Thursday,4
847,2020,10,28,Wednesday,4
848,2015,10,20,Tuesday,4
849,2015,11,23,Monday,4
850,2015,3,17,Tuesday,2
851,2015,2,3,Tuesday,1
852,2015,6,9,Tuesday,3
853,2016,1,20,Wednesday,1
854,2015,6,11,Thursday,3
855,2021,2,12,Friday,1
856,2015,3,3,Tuesday,2
857,2019,3,12,Tuesday,2
858,2014,11,20,Thursday,4
859,2018,12,7,Friday,1
860,2011,12,4,Sunday,1
861,2014,12,23,Tuesday,1
862,2013,9,15,Sunday,4
863,2020,12,18,Friday,1
864,2011,8,17,Wednesday,3
865,2022,10,20,Thursday,4
866,2009,1,1,Thursday,1
867,2014,5,20,Tuesday,2
868,2012,1,25,Wednesday,1
869,2014,5,27,Tuesday,2
870,2013,12,11,Wednesday,1
871,2007,11,15,Thursday,4
872,2018,2,15,Thursday,1
873,2014,1,27,Monday,1
874,2012,4,11,Wednesday,2
875,2020,2,18,Tuesday,1
876,2010,2,1,Monday,1
877,2020,4,24,Friday,2
878,2013,12,13,Friday,1
879,2012,3,5,Monday,2
880,2021,3,3,Wednesday,2
